Cidade;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais
Cachoeiras de Macacu (RJ);56943;3359;3642;3508;3666;3963;4042;3967;3976;4420;4053;3913;3753;3435;2661;2017;1209;755;381;167;44;12;27847;1640;1874;1863;1882;1956;1953;1896;1919;2139;1963;1904;1820;1685;1267;970;560;323;170;51;8;4;29096;1719;1768;1645;1784;2007;2089;2071;2057;2281;2090;2009;1933;1750;1394;1047;649;432;211;116;36;8
Cambuci (RJ);14616;727;769;801;901;957;847;910;1021;1103;1007;1083;1077;975;819;646;440;281;133;87;29;3;7265;392;413;406;458;515;419;463;471;542;497;517;512;489;401;304;219;135;62;38;11;1;7351;335;356;395;443;442;428;447;550;561;510;566;565;486;418;342;221;146;71;49;18;2
Carapebus (RJ);13847;781;1013;995;988;872;941;941;1033;1042;1024;945;861;787;563;468;275;172;92;39;11;4;6946;398;538;512;513;448;468;433;491;538;502;460;430;417;291;225;136;84;41;16;3;2;6901;383;475;483;475;424;473;508;542;504;522;485;431;370;272;243;139;88;51;23;8;2
Comendador Levy Gasparian (RJ);8741;529;580;569;596;597;625;587;583;636;577;613;608;508;395;309;204;139;53;26;7;-;4196;260;280;284;322;282;305;271;288;312;271;290;270;242;190;151;79;65;16;15;3;-;4545;269;300;285;274;315;320;316;295;324;306;323;338;266;205;158;125;74;37;11;4;-
Campos dos Goytacazes (RJ);483540;30196;33762;31149;33327;36775;35918;35982;36427;37270;31253;29802;29113;26425;20127;15215;9386;6334;3167;1469;374;69;230456;15231;17209;16079;16918;18128;17345;17097;17397;17832;14738;13810;13410;11806;8914;6475;3879;2457;1125;476;106;24;253084;14965;16553;15070;16409;18647;18573;18885;19030;19438;16515;15992;15703;14619;11213;8740;5507;3877;2042;993;268;45
Cantagalo (RJ);19390;1098;1226;1238;1269;1313;1154;1317;1312;1513;1280;1370;1300;1145;908;761;545;351;168;93;26;3;9452;564;622;629;655;668;579;616;654;703;635;655;625;553;441;350;233;170;58;35;7;-;9938;534;604;609;614;645;575;701;658;810;645;715;675;592;467;411;312;181;110;58;19;3
Cardoso Moreira (RJ);12958;738;782;865;841;840;777;845;901;997;889;887;814;730;673;530;378;261;139;52;18;1;6362;397;403;453;440;434;387;375;454;489;414;432;390;343;329;239;186;118;52;17;10;-;6596;341;379;412;401;406;390;470;447;508;475;455;424;387;344;291;192;143;87;35;8;1
Carmo (RJ);17198;928;992;1076;1116;1184;1063;1090;1250;1373;1181;1193;1161;1060;944;636;435;269;145;77;24;1;8341;479;496;549;582;604;524;519;606;651;577;573;544;497;457;299;186;104;52;33;9;-;8857;449;496;527;534;580;539;571;644;722;604;620;617;563;487;337;249;165;93;44;15;1
Casimiro de Abreu (RJ);46110;2903;3378;3244;3155;3119;3070;3172;3544;3735;3188;3076;2827;2457;2024;1407;866;540;246;122;29;8;22173;1453;1723;1665;1564;1524;1451;1489;1726;1725;1540;1477;1346;1134;957;640;399;230;82;39;8;1;23937;1450;1655;1579;1591;1595;1619;1683;1818;2010;1648;1599;1481;1323;1067;767;467;310;164;83;21;7
Conceição de Macabu (RJ);21104;1334;1469;1322;1466;1378;1483;1437;1461;1612;1374;1406;1475;1205;953;680;477;299;163;83;25;2;10384;687;777;677;737;684;718;685;685;853;669;703;711;590;444;328;207;136;59;30;4;-;10720;647;692;645;729;694;765;752;776;759;705;703;764;615;509;352;270;163;104;53;21;2
